exact_dates_instance8,demand_instance8,description_instance8,lead_time_instance8,profit_instance8,holding_cost_instance8
1,105,"""Potato Chips (Regular), 10oz bag""",1,2,1
2,87,"""Potato Chips (Regular), 11oz bag""",2,2,1
3,90,"""Potato Chips (Regular), 12oz bag""",inf,2,1
4,39,"""Potato Chips (Regular), 13oz bag""",inf,2,1
5,145,"""Potato Chips (Regular), 14oz bag""",1,2,1
6,129,"""Potato Chips (Regular), 15oz bag""",inf,2,1
7,92,"""Potato Chips (Regular), 16oz bag""",1,2,1
8,119,"""Potato Chips (Regular), 17oz bag""",2,2,1
9,107,"""Potato Chips (Regular), 18oz bag""",0,2,1
10,86,"""Potato Chips (Regular), 19oz bag""",0,2,1
11,124,"""Potato Chips (Regular), 20oz bag""",0,2,1
12,92,"""Potato Chips (Regular), 21oz bag""",inf,2,1
13,92,"""Potato Chips (Regular), 22oz bag""",2,2,1
14,80,"""Potato Chips (Regular), 23oz bag""",inf,2,1
15,111,"""Potato Chips (Regular), 24oz bag""",2,2,1
16,98,"""Potato Chips (Regular), 25oz bag""",1,2,1
17,114,"""Potato Chips (Regular), 26oz bag""",2,2,1
18,85,"""Potato Chips (Regular), 27oz bag""",2,2,1
19,103,"""Potato Chips (Regular), 28oz bag""",inf,2,1
20,78,"""Potato Chips (Regular), 29oz bag""",1,2,1
