exact_dates_instance8,demand_instance8,description_instance8,lead_time_instance8,profit_instance8,holding_cost_instance8
1,151,"""Potato Chips (Regular), 10oz bag""",0,2,1
2,36,"""Potato Chips (Regular), 11oz bag""",inf,2,1
3,110,"""Potato Chips (Regular), 12oz bag""",1,2,1
4,86,"""Potato Chips (Regular), 13oz bag""",1,2,1
5,89,"""Potato Chips (Regular), 14oz bag""",inf,2,1
6,95,"""Potato Chips (Regular), 15oz bag""",2,2,1
7,50,"""Potato Chips (Regular), 16oz bag""",1,2,1
8,94,"""Potato Chips (Regular), 17oz bag""",inf,2,1
9,78,"""Potato Chips (Regular), 18oz bag""",0,2,1
10,183,"""Potato Chips (Regular), 19oz bag""",2,2,1
11,106,"""Potato Chips (Regular), 20oz bag""",1,2,1
12,91,"""Potato Chips (Regular), 21oz bag""",0,2,1
13,93,"""Potato Chips (Regular), 22oz bag""",2,2,1
14,83,"""Potato Chips (Regular), 23oz bag""",inf,2,1
15,74,"""Potato Chips (Regular), 24oz bag""",0,2,1
16,90,"""Potato Chips (Regular), 25oz bag""",2,2,1
17,112,"""Potato Chips (Regular), 26oz bag""",1,2,1
18,94,"""Potato Chips (Regular), 27oz bag""",2,2,1
19,124,"""Potato Chips (Regular), 28oz bag""",2,2,1
20,95,"""Potato Chips (Regular), 29oz bag""",0,2,1
