exact_dates_instance8,demand_instance8,description_instance8,lead_time_instance8,profit_instance8,holding_cost_instance8
1,126,"""Potato Chips (Regular), 10oz bag""",0,2,1
2,144,"""Potato Chips (Regular), 11oz bag""",1,2,1
3,36,"""Potato Chips (Regular), 12oz bag""",inf,2,1
4,97,"""Potato Chips (Regular), 13oz bag""",2,2,1
5,125,"""Potato Chips (Regular), 14oz bag""",0,2,1
6,134,"""Potato Chips (Regular), 15oz bag""",inf,2,1
7,116,"""Potato Chips (Regular), 16oz bag""",0,2,1
8,137,"""Potato Chips (Regular), 17oz bag""",1,2,1
9,107,"""Potato Chips (Regular), 18oz bag""",2,2,1
10,114,"""Potato Chips (Regular), 19oz bag""",1,2,1
11,104,"""Potato Chips (Regular), 20oz bag""",1,2,1
12,73,"""Potato Chips (Regular), 21oz bag""",inf,2,1
13,79,"""Potato Chips (Regular), 22oz bag""",1,2,1
14,109,"""Potato Chips (Regular), 23oz bag""",2,2,1
15,85,"""Potato Chips (Regular), 24oz bag""",inf,2,1
16,132,"""Potato Chips (Regular), 25oz bag""",1,2,1
17,132,"""Potato Chips (Regular), 26oz bag""",inf,2,1
18,145,"""Potato Chips (Regular), 27oz bag""",1,2,1
19,99,"""Potato Chips (Regular), 28oz bag""",1,2,1
20,135,"""Potato Chips (Regular), 29oz bag""",inf,2,1
